workflow-number,classification-algorithm,algorithm-component,partition-component,Imputation-component,scaling-component,accuracy-score,balanced-accuracy-score,f1-score,optimized,reason
39,SVM,polynomial,random-relative,mean,z-score,100,100,normal,FALSE,
40,SVM,polynomial,first-absolute,drop,decimal,N/A,N/A,N/A,FALSE,Invalid partitioning resulting in a training dataset that contains one class.
41,SVM,polynomial,first-absolute,drop,min-max,N/A,N/A,N/A,FALSE,Invalid partitioning resulting in a training dataset that contains one class.
42,SVM,polynomial,first-absolute,drop,z-score,N/A,N/A,N/A,TRUE,Invalid partitioning resulting in a training dataset that contains one class.
43,SVM,polynomial,first-absolute,mean,decimal,N/A,N/A,N/A,FALSE,Invalid partitioning resulting in a training dataset that contains one class.
44,SVM,polynomial,first-absolute,mean,min-max,N/A,N/A,N/A,FALSE,Invalid partitioning resulting in a training dataset that contains one class.
45,SVM,polynomial,first-absolute,mean,z-score,N/A,N/A,N/A,FALSE,Invalid partitioning resulting in a training dataset that contains one class.
46,SVM,polynomial,first-relative,drop,decimal,66.67,0,abnormal,FALSE,
47,SVM,polynomial,first-relative,drop,min-max,100,0,abnormal,FALSE,
48,SVM,polynomial,first-relative,drop,z-score,100,0,abnormal,TRUE,
49,SVM,polynomial,first-relative,mean,decimal,62.32,0,abnormal,FALSE,
50,SVM,polynomial,first-relative,mean,min-max,98.55,0,abnormal,FALSE,
51,SVM,polynomial,first-relative,mean,z-score,98.55,0,abnormal,FALSE,
52,SVM,rbf,random-absolute,drop,decimal,98.31,98.1,normal,FALSE,
53,SVM,rbf,random-absolute,drop,min-max,91.21,91,normal,FALSE,
54,SVM,rbf,random-absolute,drop,z-score,42.13,50.6,abnormal,TRUE,
55,SVM,rbf,random-absolute,mean,decimal,98.36,98.1,normal,FALSE,
56,SVM,rbf,random-absolute,mean,min-max,94.26,94,normal,FALSE,
57,SVM,rbf,random-absolute,mean,z-score,42.21,50.6,abnormal,FALSE,
58,SVM,rbf,random-relative,drop,decimal,100,100,normal,FALSE,
59,SVM,rbf,random-relative,drop,min-max,95.38,95.1,normal,FALSE,
60,SVM,rbf,random-relative,drop,z-score,46.38,55,abnormal,TRUE,
61,SVM,rbf,random-relative,mean,decimal,97.1,96.6,normal,FALSE,
62,SVM,rbf,random-relative,mean,min-max,98.55,98.9,normal,FALSE,
63,SVM,rbf,random-relative,mean,z-score,39.13,49.1,abnormal,FALSE,
64,SVM,rbf,first-absolute,drop,decimal,N/A,N/A,N/A,FALSE,Invalid partitioning resulting in a training dataset that contains one class.
65,SVM,rbf,first-absolute,drop,min-max,N/A,N/A,N/A,FALSE,Invalid partitioning resulting in a training dataset that contains one class.
66,SVM,rbf,first-absolute,drop,z-score,N/A,N/A,N/A,TRUE,Invalid partitioning resulting in a training dataset that contains one class.
67,SVM,rbf,first-absolute,mean,decimal,N/A,N/A,N/A,FALSE,Invalid partitioning resulting in a training dataset that contains one class.
68,SVM,rbf,first-absolute,mean,min-max,N/A,N/A,N/A,FALSE,Invalid partitioning resulting in a training dataset that contains one class.
69,SVM,rbf,first-absolute,mean,z-score,N/A,N/A,N/A,FALSE,Invalid partitioning resulting in a training dataset that contains one class.
70,SVM,rbf,first-relative,drop,decimal,100,0,abnormal,FALSE,
71,SVM,rbf,first-relative,drop,min-max,100,0,abnormal,FALSE,
72,SVM,rbf,first-relative,drop,z-score,3.03,0,abnormal,TRUE,
73,SVM,rbf,first-relative,mean,decimal,98.55,0,abnormal,FALSE,
74,SVM,rbf,first-relative,mean,min-max,98.55,0,abnormal,FALSE,
75,SVM,rbf,first-relative,mean,z-score,2.9,0,abnormal,FALSE,
